Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/dev/items?id=0e8f6f09-2da5-4aad-a35a-5d102c38b37c,1,0,79.0879800000539,79.0879800000539,79.0879800000539,79.0879800000539,69.0,0.00837577179469376,0.0,79,79,79,79,79,79,79,79,79,79,79
DELETE,/dev/items?id=0eb714a6-5f47-472b-884d-9e79010be546,1,0,72.02838500006692,72.02838500006692,72.02838500006692,72.02838500006692,64.0,0.00837577179469376,0.0,72,72,72,72,72,72,72,72,72,72,72
GET,/dev/items?id=0eb714a6-5f47-472b-884d-9e79010be546,1,0,74.93769099994552,74.93769099994552,74.93769099994552,74.93769099994552,69.0,0.00837577179469376,0.0,75,75,75,75,75,75,75,75,75,75,75
DELETE,/dev/items?id=0eb789e3-6974-4baf-ab9e-e65adbe54161,1,0,83.99988499991196,83.99988499991196,83.99988499991196,83.99988499991196,64.0,0.00837577179469376,0.0,84,84,84,84,84,84,84,84,84,84,84
GET,/dev/items?id=0eb789e3-6974-4baf-ab9e-e65adbe54161,1,0,61.150872999974126,61.150872999974126,61.150872999974126,61.150872999974126,69.0,0.00837577179469376,0.0,61,61,61,61,61,61,61,61,61,61,61
DELETE,/dev/items?id=0ebddab6-8704-47f8-a7cd-cbaab050ae81,1,0,66.18235399992045,66.18235399992045,66.18235399992045,66.18235399992045,64.0,0.00837577179469376,0.0,66,66,66,66,66,66,66,66,66,66,66
GET,/dev/items?id=0ebddab6-8704-47f8-a7cd-cbaab050ae81,1,0,55.48877299997912,55.48877299997912,55.48877299997912,55.48877299997912,69.0,0.00837577179469376,0.0,55,55,55,55,55,55,55,55,55,55,55
DELETE,/dev/items?id=0ed224c8-bed3-49dc-b87a-8ef43bbc6dc1,1,0,183.31217299999025,183.31217299999025,183.31217299999025,183.31217299999025,64.0,0.00837577179469376,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/dev/items?id=0ed224c8-bed3-49dc-b87a-8ef43bbc6dc1,1,0,59.8995880000075,59.8995880000075,59.8995880000075,59.8995880000075,69.0,0.00837577179469376,0.0,60,60,60,60,60,60,60,60,60,60,60
DELETE,/dev/items?id=0f3f5988-3de7-4cf3-b43d-a12e6e4c31ee,1,0,51.3442029999851,51.3442029999851,51.3442029999851,51.3442029999851,64.0,0.00837577179469376,0.0,51,51,51,51,51,51,51,51,51,51,51
GET,/dev/items?id=0f3f5988-3de7-4cf3-b43d-a12e6e4c31ee,1,0,54.415053999946394,54.415053999946394,54.415053999946394,54.415053999946394,69.0,0.00837577179469376,0.0,54,54,54,54,54,54,54,54,54,54,54
DELETE,/dev/items?id=0f70bbb1-1149-4b64-84e7-2824e09f44d0,1,0,68.19773100005477,68.19773100005477,68.19773100005477,68.19773100005477,64.0,0.00837577179469376,0.0,68,68,68,68,68,68,68,68,68,68,68
GET,/dev/items?id=0f70bbb1-1149-4b64-84e7-2824e09f44d0,1,0,80.89879700003166,80.89879700003166,80.89879700003166,80.89879700003166,69.0,0.00837577179469376,0.0,81,81,81,81,81,81,81,81,81,81,81
DELETE,/dev/items?id=0fed86f2-faca-4650-9ccb-91a5e7a50c82,1,0,55.05645100004131,55.05645100004131,55.05645100004131,55.05645100004131,64.0,0.00837577179469376,0.0,55,55,55,55,55,55,55,55,55,55,55
GET,/dev/items?id=0fed86f2-faca-4650-9ccb-91a5e7a50c82,1,0,136.90096499999527,136.90096499999527,136.90096499999527,136.90096499999527,69.0,0.00837577179469376,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/dev/items?id=10468b0c-e832-4faa-a787-cdf32e6b2cf7,1,0,79.47137999997267,79.47137999997267,79.47137999997267,79.47137999997267,64.0,0.00837577179469376,0.0,79,79,79,79,79,79,79,79,79,79,79
GET,/dev/items?id=10468b0c-e832-4faa-a787-cdf32e6b2cf7,1,0,55.92832600007114,55.92832600007114,55.92832600007114,55.92832600007114,69.0,0.00837577179469376,0.0,56,56,56,56,56,56,56,56,56,56,56
DELETE,/dev/items?id=10b1bae9-438e-4988-9174-cb91a2cab3e2,1,0,65.6573539999954,65.6573539999954,65.6573539999954,65.6573539999954,64.0,0.00837577179469376,0.0,66,66,66,66,66,66,66,66,66,66,66
GET,/dev/items?id=10b1bae9-438e-4988-9174-cb91a2cab3e2,1,0,65.32242700006918,65.32242700006918,65.32242700006918,65.32242700006918,69.0,0.00837577179469376,0.0,65,65,65,65,65,65,65,65,65,65,65
DELETE,/dev/items?id=1220dc55-08cf-48f7-9a3f-07b004722732,1,0,176.3005750000275,176.3005750000275,176.3005750000275,176.3005750000275,64.0,0.00837577179469376,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/dev/items?id=1220dc55-08cf-48f7-9a3f-07b004722732,1,0,59.61409700000786,59.61409700000786,59.61409700000786,59.61409700000786,69.0,0.00837577179469376,0.0,60,60,60,60,60,60,60,60,60,60,60
DELETE,/dev/items?id=125c3009-ddd2-45e0-9c77-74e97b19d793,1,0,80.37491400000363,80.37491400000363,80.37491400000363,80.37491400000363,64.0,0.00837577179469376,0.0,80,80,80,80,80,80,80,80,80,80,80
GET,/dev/items?id=125c3009-ddd2-45e0-9c77-74e97b19d793,1,0,66.92715600001975,66.92715600001975,66.92715600001975,66.92715600001975,69.0,0.00837577179469376,0.0,67,67,67,67,67,67,67,67,67,67,67
DELETE,/dev/items?id=128e6a98-93c5-48f2-b6ff-6b0cbc84f9c2,1,0,64.85213199994178,64.85213199994178,64.85213199994178,64.85213199994178,64.0,0.00837577179469376,0.0,65,65,65,65,65,65,65,65,65,65,65
GET,/dev/items?id=128e6a98-93c5-48f2-b6ff-6b0cbc84f9c2,1,0,82.58119100003114,82.58119100003114,82.58119100003114,82.58119100003114,69.0,0.00837577179469376,0.0,83,83,83,83,83,83,83,83,83,83,83
